car_id,arrival_time_day_1,preference_day_1
1,9:21,[7]
2,8:51,[4]
3,9:12,[4]
4,9:22,[4]
5,9:44,[7]
6,9:04,[4]
7,9:41,[1]
8,8:20,[4]
9,8:07,[5]
10,9:51,[7]
11,8:38,[3]
12,9:25,[8]
13,9:18,[7]
14,8:14,[10]
15,10:47,[3]
16,10:44,[7]
17,10:56,[3]
18,8:30,[3]
19,8:40,[4]
20,8:24,[4]
21,8:04,[4]
22,8:36,[4]
23,9:37,[4]
24,8:40,[4]
25,10:38,[9]
26,9:05,[1]
27,10:34,[5]
28,8:10,[5]
29,9:26,[7]
30,9:45,[7]
31,10:12,[3]
32,8:41,[3]
33,9:38,[4]
34,9:18,[3]
35,10:56,[5]
36,9:09,[3]
37,9:10,[7]
38,9:09,[3]
39,8:11,[4]
40,8:57,[7]
41,9:55,[10]
42,9:41,[5]
43,8:55,[5]
44,10:49,[1]
45,9:00,[8]
46,8:59,[2]
47,10:22,[5]
48,10:36,[5]
49,10:03,[5]
50,9:54,[8]
51,9:17,[4]
52,9:41,[4]
53,8:03,[7]
54,10:41,[4]
55,10:22,[5]
56,10:31,[7]
57,9:03,[1]
58,10:14,[4]
59,9:36,[8]
60,10:16,[4]
61,10:31,[3]
62,10:40,[6]
63,9:02,[1]
64,10:35,[7]
65,10:24,[6]
66,9:53,[3]
67,8:33,[3]
68,10:42,[5]
69,8:30,[7]
70,10:42,[8]
71,8:05,[3]
72,9:36,[7]
73,8:05,[10]
74,9:11,[1]
75,8:47,[7]
76,10:52,[1]
77,10:09,[7]
78,10:38,[4]
79,10:06,[5]
80,10:38,[4]
81,10:03,[9]
82,9:45,[7]
83,10:48,[7]
84,8:56,[1]
85,9:18,[5]
86,10:12,[5]
87,9:26,[10]
88,10:43,[7]
89,9:16,[4]
90,8:13,[1]
91,10:02,[6]
92,9:00,[10]
93,10:36,[1]
94,8:51,[1]
95,10:08,[3]
96,10:27,[7]
97,9:15,[3]
98,10:56,[7]
99,8:31,[5]
100,10:59,[3]
