Day,Time,Event,len(Queue)
1,8:03,Car 53 starts traveling,NA
1,8:04,Car 21 starts traveling,NA
1,8:05,Car 71 starts traveling,NA
1,8:05,Car 73 starts traveling,NA
1,8:07,Car 9 starts traveling,NA
1,8:07,Car 21 arrives at charger 4,1
1,8:10,Car 28 starts traveling,NA
1,8:11,Car 39 starts traveling,NA
1,8:13,Car 73 arrives at charger 3,1
1,8:13,Car 90 starts traveling,NA
1,8:14,Car 14 starts traveling,NA
1,8:15,Car 71 arrives at charger 2,1
1,8:16,Car 9 arrives at charger 4,1
1,8:16,Car 53 arrives at charger 9,1
1,8:20,Car 8 starts traveling,NA
1,8:20,Car 28 arrives at charger 8,1
1,8:21,Car 39 arrives at charger 2,1
1,8:22,Car 8 arrives at charger 3,1
1,8:24,Car 20 starts traveling,NA
1,8:24,Car 90 arrives at charger 5,1
1,8:27,Car 14 arrives at charger 1,1
1,8:30,Car 18 starts traveling,NA
1,8:30,Car 69 starts traveling,NA
1,8:31,Car 99 starts traveling,NA
1,8:32,Car 20 arrives at charger 7,1
1,8:32,Car 69 arrives at charger 10,1
1,8:33,Car 67 starts traveling,NA
1,8:36,Car 22 starts traveling,NA
1,8:38,Car 11 starts traveling,NA
1,8:40,Car 19 starts traveling,NA
1,8:40,Car 24 starts traveling,NA
1,8:41,Car 32 starts traveling,NA
1,8:41,Car 67 arrives at charger 7,1
1,8:41,Car 99 arrives at charger 1,1
1,8:41,Car 32 arrives at charger 5,1
1,8:42,Car 22 arrives at charger 10,1
1,8:43,Car 18 arrives at charger 8,1
1,8:44,Car 11 arrives at charger 9,1
1,8:46,Car 24 arrives at charger 6,1
1,8:47,Car 75 starts traveling,NA
1,8:48,Car 19 arrives at charger 6,1
1,8:51,Car 2 starts traveling,NA
1,8:51,Car 75 arrives at charger 10,2
1,8:51,Car 94 starts traveling,NA
1,8:54,Car 2 arrives at charger 7,2
1,8:55,Car 43 starts traveling,NA
1,8:56,Car 84 starts traveling,NA
1,8:57,Car 40 starts traveling,NA
1,8:59,Car 46 starts traveling,NA
1,9:00,Car 45 starts traveling,NA
1,9:00,Car 92 starts traveling,NA
1,9:02,Car 63 starts traveling,NA
1,9:03,Car 57 starts traveling,NA
1,9:04,Car 6 starts traveling,NA
1,9:05,Car 26 starts traveling,NA
1,9:06,Car 43 arrives at charger 1,2
1,9:07,Car 84 arrives at charger 1,3
1,9:07,Car 94 arrives at charger 10,3
1,9:09,Car 36 starts traveling,NA
1,9:09,Car 38 starts traveling,NA
1,9:09,Car 45 arrives at charger 7,3
1,9:10,Car 37 starts traveling,NA
1,9:11,Car 74 starts traveling,NA
1,9:12,Car 3 starts traveling,NA
1,9:12,Car 14 departs at charger 1,3
1,9:13,Car 46 arrives at charger 1,3
1,9:14,Car 6 arrives at charger 3,2
1,9:15,Car 38 arrives at charger 5,2
1,9:15,Car 40 arrives at charger 8,2
1,9:15,Car 57 arrives at charger 4,2
1,9:15,Car 97 starts traveling,NA
1,9:16,Car 3 arrives at charger 2,2
1,9:16,Car 89 starts traveling,NA
1,9:16,Car 92 arrives at charger 1,4
1,9:17,Car 51 starts traveling,NA
1,9:17,Car 20 departs at charger 7,3
1,9:17,Car 69 departs at charger 10,3
1,9:18,Car 13 starts traveling,NA
1,9:18,Car 34 starts traveling,NA
1,9:18,Car 85 starts traveling,NA
1,9:19,Car 36 arrives at charger 7,3
1,9:20,Car 13 arrives at charger 10,3
1,9:20,Car 14 finish traveling,NA
1,9:20,Car 26 arrives at charger 7,4
1,9:20,Car 63 arrives at charger 10,4
1,9:20,Car 69 finish traveling,NA
1,9:21,Car 1 starts traveling,NA
