car_id,arrival_time_day_1,preference_day_1
1,9:57,[1]
2,8:00,[1]
3,8:01,[1]
4,9:28,[1]
5,9:26,[1]
6,9:07,[4]
7,8:19,[2]
8,9:00,[3]
9,9:39,[4]
10,8:37,[2]
11,9:20,[2]
12,6:30,[2]
13,6:12,[2]
14,9:50,[4]
15,7:12,[3]
16,7:43,[3]
17,6:25,[3]
18,7:20,[4]
19,7:49,[3]
20,7:12,[3]
21,8:27,[5]
22,7:14,[5]
23,6:42,[9]
24,8:08,[5]
25,6:15,[7]
26,6:47,[9]
27,6:04,[7]
28,9:19,[8]
29,7:55,[5]
30,6:14,[7]
31,7:24,[5]
32,6:34,[5]
33,6:07,[8]
34,9:15,[8]
35,9:01,[9]
36,6:31,[8]
37,6:23,[6]
38,6:58,[8]
39,8:37,[5]
40,8:09,[7]
41,7:34,[5]
42,8:01,[7]
43,8:05,[9]
44,8:15,[5]
45,6:31,[9]
46,9:15,[10]
47,7:15,[10]
48,7:11,[10]
49,6:18,[10]
50,9:50,[10]
51,7:25,[16]
52,7:27,[12]
53,8:09,[16]
54,9:47,[11]
55,9:50,[16]
56,9:19,[13]
57,6:50,[13]
58,9:21,[12]
59,9:26,[12]
60,8:35,[17]
61,8:04,[18]
62,7:13,[13]
63,6:48,[11]
64,8:56,[11]
65,6:22,[15]
66,9:54,[11]
67,8:30,[12]
68,9:12,[16]
69,8:38,[18]
70,8:13,[11]
71,8:00,[17]
72,8:20,[13]
73,9:08,[13]
74,9:08,[12]
75,9:04,[12]
76,7:05,[13]
77,8:20,[16]
78,7:40,[17]
79,8:01,[17]
80,8:17,[18]
81,7:04,[12]
82,7:47,[15]
83,8:47,[15]
84,6:07,[12]
85,9:06,[15]
86,9:26,[15]
87,7:33,[12]
88,8:02,[12]
89,9:16,[12]
90,9:33,[11]
91,7:51,[20]
92,8:50,[24]
93,9:35,[25]
94,8:02,[26]
95,7:28,[19]
96,9:50,[26]
97,8:00,[24]
98,9:40,[26]
99,6:50,[22]
100,6:58,[19]
101,8:57,[21]
102,9:35,[21]
103,6:20,[21]
104,7:56,[21]
105,9:28,[20]
106,9:33,[24]
107,6:38,[20]
108,7:49,[19]
109,8:57,[24]
110,7:42,[19]
111,8:44,[26]
112,6:50,[26]
113,8:02,[25]
114,6:09,[22]
115,7:55,[26]
116,6:24,[19]
117,9:00,[21]
118,7:55,[22]
119,7:59,[26]
120,6:45,[27]
121,9:42,[22]
122,6:40,[20]
123,6:47,[22]
124,8:22,[26]
125,9:51,[21]
126,6:56,[19]
127,7:17,[24]
128,6:20,[21]
129,7:46,[26]
130,6:08,[21]
131,8:46,[19]
132,8:39,[26]
133,7:05,[22]
134,7:12,[27]
135,7:06,[21]
136,6:26,[38]
137,7:08,[31]
138,7:16,[43]
139,6:38,[31]
140,7:25,[30]
141,8:47,[33]
142,6:41,[28]
143,9:01,[28]
144,7:11,[31]
145,7:51,[28]
146,8:28,[36]
147,9:17,[31]
148,6:28,[42]
149,9:40,[38]
150,6:47,[43]
151,7:16,[43]
152,8:09,[43]
153,7:21,[30]
154,8:52,[43]
155,6:34,[34]
156,9:17,[32]
157,7:41,[43]
158,8:09,[31]
159,7:19,[36]
160,8:06,[36]
161,6:12,[43]
162,6:36,[40]
163,6:25,[29]
164,9:53,[31]
165,9:22,[32]
166,8:06,[32]
167,7:04,[30]
168,8:34,[28]
169,7:45,[30]
170,9:49,[34]
171,7:26,[43]
172,7:17,[43]
173,8:25,[31]
174,9:27,[43]
175,8:20,[40]
176,7:03,[37]
177,7:40,[38]
178,6:28,[38]
179,7:41,[31]
180,9:17,[40]
181,7:38,[34]
182,9:47,[37]
183,7:02,[28]
184,9:11,[29]
185,6:23,[33]
186,8:06,[43]
187,8:14,[43]
188,9:27,[34]
189,6:46,[38]
190,6:20,[40]
191,7:13,[31]
192,7:20,[37]
193,7:11,[38]
194,7:01,[36]
195,7:09,[37]
