Day,Time,Event,len(Queue)
1,6:03,Car 363 starts traveling,NA
1,6:04,Car 27 starts traveling,NA
1,6:04,Car 310 starts traveling,NA
1,6:04,Car 357 starts traveling,NA
1,6:06,Car 278 starts traveling,NA
1,6:07,Car 33 starts traveling,NA
1,6:07,Car 84 starts traveling,NA
1,6:07,Car 389 starts traveling,NA
1,6:08,Car 130 starts traveling,NA
1,6:08,Car 130 arrives at charger 21,1
1,6:09,Car 114 starts traveling,NA
1,6:09,Car 310 arrives at charger 70,1
1,6:09,Car 363 arrives at charger 74,1
1,6:10,Car 389 arrives at charger 66,1
1,6:12,Car 13 starts traveling,NA
1,6:12,Car 161 starts traveling,NA
1,6:13,Car 27 arrives at charger 7,1
1,6:14,Car 30 starts traveling,NA
1,6:14,Car 352 starts traveling,NA
1,6:15,Car 25 starts traveling,NA
1,6:15,Car 348 starts traveling,NA
1,6:15,Car 357 arrives at charger 66,1
1,6:16,Car 211 starts traveling,NA
1,6:16,Car 276 starts traveling,NA
1,6:16,Car 377 starts traveling,NA
1,6:17,Car 278 arrives at charger 51,1
1,6:18,Car 33 arrives at charger 8,1
1,6:18,Car 49 starts traveling,NA
1,6:18,Car 114 arrives at charger 22,1
1,6:19,Car 84 arrives at charger 12,1
1,6:19,Car 233 starts traveling,NA
1,6:19,Car 236 starts traveling,NA
1,6:19,Car 247 starts traveling,NA
1,6:20,Car 103 starts traveling,NA
1,6:20,Car 128 starts traveling,NA
1,6:20,Car 190 starts traveling,NA
1,6:20,Car 260 starts traveling,NA
1,6:20,Car 299 starts traveling,NA
1,6:20,Car 323 starts traveling,NA
1,6:21,Car 211 arrives at charger 36,1
1,6:22,Car 65 starts traveling,NA
1,6:22,Car 198 starts traveling,NA
1,6:22,Car 343 starts traveling,NA
1,6:22,Car 352 arrives at charger 66,2
1,6:23,Car 37 starts traveling,NA
1,6:23,Car 161 arrives at charger 43,1
1,6:23,Car 185 starts traveling,NA
1,6:24,Car 13 arrives at charger 2,1
1,6:24,Car 30 arrives at charger 7,1
